t,hid,x,y,r
1.400,11,10.8200,0.3160,0.275
1.400,12,11.6400,-1.1471,0.320
1.400,13,12.4600,0.4986,0.266
1.400,14,13.2800,0.0815,0.318
1.400,15,14.1000,1.3698,0.295
1.440,0,1.8000,-1.3366,0.299
1.440,1,2.6200,-0.1836,0.289
1.440,2,3.4400,-0.2306,0.267
1.440,3,4.2600,0.1579,0.276
1.440,4,5.0800,-1.0329,0.329
1.440,5,5.9000,-2.2189,0.307
1.440,6,6.7200,-0.3985,0.328
1.440,7,7.5400,-1.1667,0.305
1.440,8,8.3600,-0.4643,0.282
1.440,9,9.1800,1.0682,0.278
1.440,10,10.0000,-1.4747,0.305
1.440,11,10.8200,0.3193,0.275
1.440,12,11.6400,-1.1439,0.320
1.440,13,12.4600,0.4898,0.266
1.440,14,13.2800,0.0682,0.318
1.440,15,14.1000,1.3895,0.295
1.480,0,1.8000,-1.3483,0.299
1.480,1,2.6200,-0.1896,0.289
1.480,2,3.4400,-0.2291,0.267
1.480,3,4.2600,0.1685,0.276
1.480,4,5.0800,-1.0457,0.329
1.480,5,5.9000,-2.2324,0.307
1.480,6,6.7200,-0.3999,0.328
1.480,7,7.5400,-1.1744,0.305
1.480,8,8.3600,-0.4545,0.282
1.480,9,9.1800,1.0790,0.278
1.480,10,10.0000,-1.4860,0.305
1.480,11,10.8200,0.3224,0.275
1.480,12,11.6400,-1.1409,0.320
1.480,13,12.4600,0.4812,0.266
1.480,14,13.2800,0.0552,0.318
1.480,15,14.1000,1.4091,0.295
1.520,0,1.8000,-1.3598,0.299
1.520,1,2.6200,-0.1960,0.289
1.520,2,3.4400,-0.2279,0.267
1.520,3,4.2600,0.1789,0.276
1.520,4,5.0800,-1.0582,0.329
1.520,5,5.9000,-2.2456,0.307
1.520,6,6.7200,-0.4012,0.328
1.520,7,7.5400,-1.1819,0.305
1.520,8,8.3600,-0.4443,0.282
1.520,9,9.1800,1.0895,0.278
1.520,10,10.0000,-1.4976,0.305
1.520,11,10.8200,0.3251,0.275
1.520,12,11.6400,-1.1384,0.320
1.520,13,12.4600,0.4729,0.266
1.520,14,13.2800,0.0424,0.318
1.520,15,14.1000,1.4286,0.295
1.560,0,1.8000,-1.3710,0.299
1.560,1,2.6200,-0.2027,0.289
1.560,2,3.4400,-0.2270,0.267
1.560,3,4.2600,0.1890,0.276
1.560,4,5.0800,-1.0704,0.329
1.560,5,5.9000,-2.2584,0.307
1.560,6,6.7200,-0.4023,0.328
1.560,7,7.5400,-1.1891,0.305
1.560,8,8.3600,-0.4339,0.282
1.560,9,9.1800,1.0997,0.278
1.560,10,10.0000,-1.5095,0.305
1.560,11,10.8200,0.3276,0.275
1.560,12,11.6400,-1.1361,0.320
1.560,13,12.4600,0.4647,0.266
1.560,14,13.2800,0.0300,0.318
1.560,15,14.1000,1.4478,0.295
1.600,0,1.8000,-1.3820,0.299
1.600,1,2.6200,-0.2096,0.289
1.600,2,3.4400,-0.2265,0.267
1.600,3,4.2600,0.1988,0.276
1.600,4,5.0800,-1.0822,0.329
1.600,5,5.9000,-2.2710,0.307
1.600,6,6.7200,-0.4032,0.328
1.600,7,7.5400,-1.1960,0.305
1.600,8,8.3600,-0.4232,0.282
1.600,9,9.1800,1.1096,0.278
1.600,10,10.0000,-1.5218,0.305
1.600,11,10.8200,0.3299,0.275
1.600,12,11.6400,-1.1343,0.320
1.600,13,12.4600,0.4568,0.266
1.600,14,13.2800,0.0179,0.318
1.600,15,14.1000,1.4669,0.295
1.640,0,1.8000,-1.3929,0.299
1.640,1,2.6200,-0.2168,0.289
1.640,2,3.4400,-0.2263,0.267
1.640,3,4.2600,0.2082,0.276
1.640,4,5.0800,-1.0938,0.329
1.640,5,5.9000,-2.2832,0.307
1.640,6,6.7200,-0.4039,0.328
1.640,7,7.5400,-1.2026,0.305
1.640,8,8.3600,-0.4123,0.282
1.640,9,9.1800,1.1191,0.278
1.640,10,10.0000,-1.5344,0.305
1.640,11,10.8200,0.3318,0.275
1.640,12,11.6400,-1.1327,0.320
1.640,13,12.4600,0.4491,0.266
1.640,14,13.2800,0.0061,0.318
1.640,15,14.1000,1.4857,0.295
1.680,0,1.8000,-1.4035,0.299
1.680,1,2.6200,-0.2243,0.289
1.680,2,3.4400,-0.2264,0.267
